date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:58	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20May%202024%2005:57:00%20GMT	https://decentralisedsync.vercel.app/robots.txt		(from )
06:56:59	227322/227322	---MCZ	200	added ('OK')	text/html	etag:W/%2203fded3efc7297b8961992f97aaaa151%22	https://decentralisedsync.vercel.app/	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/index.html	(from )
06:57:00	11891/11891	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2016%20May%202024%2005:57:01%20GMT	https://kit.fontawesome.com/8e2dee2a7c.js	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/kit.fontawesome.com/8e2dee2a7c.js	(from https://decentralisedsync.vercel.app/)
06:57:00	5573/5573	---MCZ	200	added ('OK')	text/css	etag:W/%22dd862d00d0215b450b015491a2eb2dd5%22	https://decentralisedsync.vercel.app/index1.css	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/index1.css	(from https://decentralisedsync.vercel.app/)
06:57:00	8214/8214	---MCZ	200	added ('OK')	text/css	etag:W/%2222d5cacbfa22a8d1d1ced8513ae517b2%22	https://decentralisedsync.vercel.app/dapp.css	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/dapp.css	(from https://decentralisedsync.vercel.app/)
06:57:00	2399/2399	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237f2bc6ecee2eb29b3cf6799ce58bf58%22	https://decentralisedsync.vercel.app/assets/logo.svg	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/assets/logo.svg	(from https://decentralisedsync.vercel.app/)
06:57:01	100653/100653	---MCZ	200	added ('OK')	text/html	etag:W/%226c44f1e41477f8263c214c43259f2e9e%22	https://decentralisedsync.vercel.app/service.html	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/service.html	(from https://decentralisedsync.vercel.app/)
06:57:01	84772/84772	---M--	200	added ('OK')	image/png	etag:%222eae5d40888f42132dd00d6421f1213c%22	https://decentralisedsync.vercel.app/assets/three.47a467c48ac295991831.png	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/assets/three.47a467c48ac295991831.png	(from https://decentralisedsync.vercel.app/)
06:57:02	64157/64157	---M--	200	added ('OK')	image/png	etag:%22b1a061e7aa2959b133331feb62e6488c%22	https://decentralisedsync.vercel.app/assets/two.c1f6b37d1b43e03b997f.png	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/assets/two.c1f6b37d1b43e03b997f.png	(from https://decentralisedsync.vercel.app/)
06:57:02	68191/68191	---M--	200	added ('OK')	image/png	etag:%22a7697f5d97321b2abd843d84f4af10ad%22	https://decentralisedsync.vercel.app/assets/one.8b833e9a950a4419b485.png	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/assets/one.8b833e9a950a4419b485.png	(from https://decentralisedsync.vercel.app/)
06:57:02	21569/21569	---M--	200	added ('OK')	image/png	etag:%22db093b50636b4724d3b2ca721da7ca93%22	https://decentralisedsync.vercel.app/assets/four.c5c32e4a3393ca0acb33.png	C:/Users/krixxvalle/OneDrive/Desktop/clone%20website/bitcoin/decentralisedsync.vercel.app/assets/four.c5c32e4a3393ca0acb33.png	(from https://decentralisedsync.vercel.app/)
